x1,x2,x3,x4,x5,x6,x7,x8,y
-51.99,162.09,73.28,5069.44,-3.51,-2.38,-4.6,-17.71,13.35
64.9,-124.86,2.01,21406.62,-10.03,-10.66,-12.74,-8.29,14.05
-36.27,2.09,-62.74,2049.37,,,6.24,-18.34,11.27
-120.05,35.86,5.01,9064.94,-15.29,1.95,-5.73,8.83,-4.34
141.11,,6.2,9964.03,1.33,-6.7,5.94,-0.16,8.34
-190.19,17.23,35.71,844.48,-11.8,-3.15,-1.75,-21.2,14.91
-95.46,89.45,96.16,26955.07,9.61,-2.57,-0.42,-8.25,19.98
-34.27,-7.8,-42.44,28345.09,6.62,-10.0,-14.12,,-5.75
-6.08,12.33,97.69,11878.82,,23.61,-5.01,4.62,2.69
95.66,88.39,-80.92,4.16,-8.5,3.94,-0.24,3.37,-1.86
54.73,147.1,158.57,4.93,-12.92,-0.72,4.91,,13.54
-64.88,-2.18,,5140.89,3.72,7.05,3.69,-0.99,3.97
-121.68,63.65,-71.47,,6.37,,7.85,6.38,2.74
137.53,44.83,-80.91,6083819.57,-234.99,12.84,8.04,10.48,-14.08
157.88,-58.91,58.15,849.14,-10.24,19.3,4.24,207.04,9.96
38.75,103.08,25.61,4011.96,,-223.92,5.71,8.16,-1.58
19.55,-43.64,52.32,4518.53,-6.68,-2.29,,-20.27,19.5
34.29,-38.65,-44.41,9775.28,-3.43,4.95,4.6,-11.73,11.78
1.62,145.02,53.26,4546.8,11.81,-4.31,4.86,-0.42,3.79
29.46,33.91,-20.96,6083819.57,5.1,2.93,1.23,3.23,-3.17
-64.93,25.39,-118.74,1746.4,226.26,-1.91,-16.11,-10.44,0.97
-101.85,,-9.53,3523.61,14.56,0.04,-20.61,-1.31,1.44
